a	阿呵啊嗄腌吖錒锕
qin	欽菳斳寑搇侵覃赾瀙锓雂亲嵰嗪吣撳琴嵚廑噙鳹瘽抋蚙懃藽芩昑鮼蠄沁揿溱矜秦親埐靲菦梫坅寴駸衾鵭螓吢顉钦嶔捦擒琹嶜澿懄珡媇慬檎鋟耹寢唚嫀庈鈙禽笉寝骎菣螼肣綅誛鈫芹勤
qing	郬葝鯖寈謦庆氢樈掅亲倾氰黥轻鲭鑋漀圊青晴擎磬棾殑请甠錆啨苘綮埥蜻殸箐清凊濪卿頃庼硘傾靘請情檠夝顷靑慶儬擏軽勍暒罄櫦倩碃淸氫檾剠廎輕
qiong	茕熍瓗橩嬛卭竆儝憌宆邛焭琼桏穷舼瞏煢跫惸笻銎窮藑蛩璚蛬赹瓊筇睘焪穹藭
qiu	鹙釚殏鶖逎緧蠤坵虯鰍璆篍恘犰訄酋唒煪扏萩蛷囚龟鞧渞秌湬崷球鞦蘒朹訅觩搝芁蚯赇求糗蟗鼽穐丠紌仇丘裘毬釻銶楸梂浗肍湫玌絿恷湭泅賕蝤鮂汓邱蘒媝頄盚叴遒醔趥觓皳蓲俅巯秋巰鳅莍虬蝵逑鰌龝鯄鰽
qu	磲诎灈籧娶去氍袪岖阹蕖鴝螶耝敺麴衢鼩癯駆岴憈鱋璩蝺趣斪蠼閴蟝忂胊取蛐絇鶌屈爠觑麮區嶇朐鸜璖欋鰸瞿粬躯刞佢齲佉魼竘祛驅竬軀区坥趋蘧誳伹龋匤戵淭浀鼁抾紶驱蠷麯詘欔煀劬翑葋趨呿筁趍衐蛆黢駈軥鑺曲戌闃阒菃鸲覻躣苣渠覷麹詓焌覰髷胠厺臞
quan	棬蜷箞権虇峑姾硂筌搼卷绻劝絟椦悛惓踡牷铨瑔騡蠸犬牶勸畎齤拳跧勧巏啳鐉痊诠辁綣弮銓韏奍駩犮券醛烇埢顴觠圏闎全婘葲縓鬈鳈荃犭輇权佺泉鰁犈颧權湶圈恮楾詮洤
que	碏蒛却瘸棤硞琷阕阙闕燩趞礭愨鹊塙皵搉确碻埆炔缺闋榷卻雀礐鵲悫崅確慤缼芍
qun	囷麇逡峮群宭裠帬夋羣裙
ran	髥蚺然橪繎衻珃冄冉蚦嘫燃呥髯姌袡染肰苒媣袇
rang	瀼瓤攘讓獽壌懹蘘勷儴禳躟穰壤穣嚷鬤爙让譲
rao	遶荛饶蕘饒娆繞扰绕嬈隢擾桡襓橈
re	热惹喏熱若
ren	魜銋讱秹亻紉餁紝刄荏忎韧袵韌靭衽认認軔仭朲纫任鈓纴忍秂躵忈芢轫絍人肕腍壬栣梕稔荵靱姙仞妊飪祍鵀刃屻饪仁杒葚栠訒牣
reng	芿艿仍礽辸陾扔
ri	驲釼釰日鈤囸衵馹
rong	瑢嵘冗蠑螎羢駥爃氄镕軵嶸絨槦縙茙榮蝾茸狨曧坈榵穃荣嬫傇栄毧嫆峵傛搈褣搑融鎔瀜熔溶绒蓉烿戎穁容宂嵤榕媶肜
rou	譳瓇肉鶔脜宍輮蹂揉韖騥煣楺葇糅渘禸瑈粈腬鰇媃鍒鞣厹蝚柔
ru	汝邚蓐縟嗕袽鴑洳襦杁蒘醹擩筎肗銣鴽嶿茹嚅挐缛蠕侞蝡顬褥鱬帤曘蕠乳入薷颥辱濡鄏桇媷渪如儒铷孺溽嬬
ruan	撋堧壖耎媆輭阮朊腝瓀碝偄软瑌軟緛礝
rui	甤蘃睿蘂壡桵鋭瑞叡橤蕊銳芮繠蜹锐蕤汭枘蕋蚋緌
run	膶閏闰橍潤润閠
ruo	渃叒弱楉偌嵶鄀挼鰙鶸蒻婼焫鰯爇箬篛若捼
sa	潵撒訯萨隡薩脎櫒卅洒蕯馺钑摋靸躠鈒颯仨灑飒
sai	毸顋噻思鰓毢嗮簺赛鳃嘥僿賽愢腮揌塞
san	参毵俕壭閐散糝糁叁厁鏒糤毿伞弎三饊犙傘鏾繖毶馓鬖糣
sang	颡喪褬顙槡嗓搡磉鎟丧桒桑
sao	瘙溞髞嫂扫螦搔矂埽缫繅氉骚臊掃燥鰠鱢騷慅颾騒掻鳋
se	瑟璱雭歰轖澁飋濇渋摵繬穡铯銫涩色擌瘷鱪塞洓歮譅濏鏼懎啬栜穯嗇閪瀒穑澀
sen	槮椮森襂
seng	鬙僧
sha	裟閷奢厦挲箑帹煞砂莎啥猀樧儍鯋榝噎粆倽嗄霎杉铩鎩紗魦喢萐廈沙鲨唦桬傻翣閯痧翜摋繺歃硰髿啑刹纱殺鯊唼杀蔱
shai	籭曬簛色篩酾簁筛晒
shan	讪扇禅鯅脠笘山珊磰墠剼炶晱樿剡痁熌譱嘇銏閃陕邖掸赸舢删嬗謆衫陝彡柵鳝栅赡膻敾禪挻姍傓疝軕闪羴搧芟钐煔骟杉澘贍縿騸饍狦幓蟺姗繕椫膳潸檆睒擅鱓善苫訕汕歚掺灗覢羶僐鐥跚煽蟮圸墡釤单缮鄯刪鱔掞
shang	樉鑜熵傷扄觞伤賞尚尙绱商觴晌贘螪上殤禓謪鞝汤丄赏裳鬺蔏鋿垧恦殇鏛漡墒滳緔慯
shao	焼蕱劭邵梢绍紹睄勺少卲捎輎鞘袑娋莦蛸髾柖杓烧苕韶哨燒稍艄旓筲玿弰萷潲綤鮹芍
she	畭揲阇奢蛇舌設叶攝輋舎檨设弽騇猞虵欇慴折赦賒懾舍畲蛥摂摄涉韘灄畬社渉拾滠麝蔎歙蠂厙涻慑赊捨賖厍佘射
shei	谁
shen	姺甡葠鵢魫峷鉮伸脤曋嬸祳鋠愼什胂哂诜眒涁瘆葚鯵腎籶谉紳審訷慎蜃罙裑侁棯渗諗身珅矧娠扟申肾堔神敒眘妽莘呻蔘椹籸沈駪糁冞氠瞫滲鲹昚糂屾邥深詵頣兟榊讅婶谂鯓鰰审砷燊訠渖瀋甧覾蓡曑薓罧瘮柛蜄鰺甚穼弞侺绅矤参
sheng	陞勝圣剩渻貹昇賸焺榺晠渑鍟偗鼪湦笙譝盛聖縄斘省苼鉎聲甥眚繩呏晟胜剰陹乘珄泩牲琞竔橳繉憴曻鵿﨡狌殅墭升生枡蕂阩声绳嵊
shi	栻鉽驶佦蝕睗谥酾蝨噬式眎褷筮鰘獅釶誓埘失舐蒒屎徥實卋鍦簭冟詩勢狮鉂什识螫始試鉐饰豕室蓍籂恀湿諟实似恃銴餝諡鈰尸実市柹轼柿祏使塒鼫鉇鰣炻势嬕嘘辻鼭拾适視湤榯煶戺邿謚示施殖眡士枾眂烒鉃遈溼飠適崼姼蚀是峕峙釈軾舓濕丗仕事宩试貰旹氏秲弒逝時飾虱釃视鸤石鰤識瑡寔浉師竍呩屍遾诗礻弑忕奭觢溡鶳駛溮史兘侍贳师十鮖铈揓嵵鲥亊食鲺葹释矢笶鳲鳾襹时乨嗜餙襫澨世匙釋呞湜鯴昰絁莳拭蒔饣箷
shou	兽獸受狩収授痩垨膄瘦守寿绶手售壽涭熟鏉扌夀艏首綬獣收
shu	姝攄鉥婌腧朮漱输澍薯数襩书孰綀橾屬術潻纾束軗鵨蠴書竪毺瀭殊暏豎疎尌熟叔樞鄃咰曙树竖沭陎贖輸淑塾殳藷梳摅庶荼鼠庻尗數絉抒属疏紓霔秫焂倏黍癙掓倐樹鶐捒蜀恕錰跾述戍墅薥侸舒踈毹蒁濖术琡赎糬襡菽怷潄署枢蔬璹荗裋虪暑鮛儵鏣杸
shua	耍唰誜刷
shuai	甩蟀衰卛摔帅帥率
shuan	涮腨閂拴栓闩
shuang	縔騻孀礵慡鸘爽漺驦雙灀泷塽双鏯鹴﨎骦孇霜鷞欆艭
shui	税谁氵氺水涗说脽祱裞睡帨涚誰稅
shun	瞚顺蕣順鬊瞤橓楯舜瞬吮
shuo	铄說朔欶獡鑠搠爍说説烁妁硕矟箾鎙碩槊蒴
si	鈻禠嗣覗緦肆思虒巳泗亖絲竢四偲飤鷥駟凘孠杫缌泀泤柶司螄儩笥鼶榹纟俬貄似廝瀃寺枱洍撕饲鐁驷蜤耛糹価鈶娰騦俟蟴禩私蕼牭咝鉰汜涘飼燍嘶澌锶鍶恖姒噝釲丝銯伺罳颸媤耜祀厮洠肂斯蕬厕鸶兕蛳食飔梩蟖佀厶楒禗死磃鋖
song	嵩竦耸讼松颂餸慫濍悚駷傱凇娀愯梥崧送倯嵷诵枩菘憽宋柗怂枀訟庺頌淞硹鎹檧忪鬆楤聳誦
sou	獀颼溲騪馊櫢锼瘶薮艘鎪傁嗖蓃餿藪凁籔飕蒐廀醙擻叟擞鄋叜摗廋嗽捜搜摉螋嗾瞍
su	穌涑夙櫯洬觫窣樎蘓趚鹔僳塐餗谡憟殐鯂溸稣鱐泝愬傃驌嗉缩遡甦溯簌訴玊膆潚潥橚苏速素骕蘇诉塑粛榡肃碿宿俗粟蹜樕梀鷫鋉蔌璛謖嫊藗酥莤囌珟肅遬愫縤
suan	匴笇酸痠筭蒜算祘狻
sui	浽繀绥祟埣睢繐芕鞖睟膸熣嵗煫隋遂岁碎鐆綏譢粹澻穟荽燧倠韢髓髄繸隨眭穗谇旞誶遀穂璲尿瓍瀡砕歲虽随滖亗哸禭鐩濉夊賥雖嬘荾邃檖隧歳襚
sun	飧蕵狲飱榫搎槂箰笋荪猻孙鶽薞潠孫损隼簨筍鎨損蓀
suo	挲所蓑莎莏挱娑鎖簑嗩傞溑桫褨縮缩溹鮻趖锁琑摍琐嗦蜶鏁簔唆惢暛梭唢鎍璅逤睃鎻索瑣嗍羧
ta	錔蹹它遝榻撻塔獺獭鞳她鞜嚃狧嚺挞禢遢橽鰨鉈崉搨傝毾漯蹋闼涾譶祂褟沓闒塌誻溻鮙趿阘躢拓粏濌闥踏澾鳎牠溚嗒墖侤铊榙
tai	薹旲邰籉跆嬯囼擡骀汏太酞态孡箈肽抬汰儓冭態駘忲炲坮台泰钛呔汱臺鈦檯鮐胎炱燤鲐舦颱菭苔溙夳
tan	坦醓湠貚貪罈璮埮覃惔瘫談啴澹嘆藫壇墵僋舕忐燂昙暺碳坛倓醈摊攤錟曇菼歎醰怹坍嗿婒滩嘽潬檀鉭毯憛探叹罎榃顃谭灘痰譚郯壜墰袒炭潭擹憳憻癱譠钽痑锬舑贪谈弹橝
tang	漟曭蹚坣禟樘橖蝪榶铴劏瑭糖鄌鼞闛耥摥淌磄倘嘡鏜蓎煻鐋螗矘羰鎲戃傥棠伖溏啺唐塘帑躺镗汤膛篖醣糛餹薚饄镋湯烫儻惝鞺傏堂搪糃鎕钂爣偒鶶燙隚螳踼赯趟膅
tao	绦縧裪鞀駣騊瑫涛夲鞱飸陶套鼗謟鋾綯祹鞉咷詜嫍縚焘讨逃桃淘濤絛梼叨萄蜪掏幍槄轁韜啕慆搯匋弢韬饕洮醄討绹滔迯饀
te	脦鋱忒蟘特铽忑慝
teng	邆霯滕鼟駦腾疼膯螣儯誊籘籐漛藤虅縢鰧痋騰謄驣幐
ti	蹄鵜體剃碮锑倜銻骵踢瑅屉鳀崹厗鯷鬀稊提緹裼渧揥啑逷褆鹈醍歒綈嗁蹏嚏鷈逖蕛褅鬄徲罤剔鮷啼軆挮睼屜惿笹体涕题鶗趧鷉薙荑籊鷤替禵殢鍗遆洟趯俶鶙題掦騠髰偍悐擿悌惖嚔绨戻惕謕漽梯瓋缇媞躰
tian	璳畑悿填靔田緂畠錪婖嗔天屇阗甜餂塡闐淟搷賟碵黇琠瑱鴫钿腆靝忝恬胋磌痶湉睓晪舔觍鷏甛酟兲窴倎添掭沺覥畋唺佃鷆舚菾殄
tiao	鰷窱齠岹蓚岧條挑趒粜庣絩斢祧龆条鲦脁鋚鞗鎥髫调跳宨朓糶笤恌苕晀覜蓨樤蜩迢佻旫窕誂祒眺芀嬥鯈萔聎
tie	蛈铁聑帖贴怗鉄萜飻僣驖鐵銕餮鐡呫貼
ting	聼蜓廷汀侹艇耓圢烶娗铤蝏綎霆颋町頲烃厅厛嵉榳渟廳葶涏聴廰停脡楟鋌庭桯亭莛鼮聽甼庁梃誔邒婷筳挺听珽聤閮諪鞓烴
tong	慟峝勭垌獞橦粡銅餇鲖鮦膧同庝統筒峒絧哃烔秱詷侗炵僮憅茼通浵彤曈桶犝鉵潼峂氃蓪桐铜燑嗵佟朣瞳砼统酮晍樋痌蚒穜赨狪筩痛眮童鉖捅熥仝恫衕
tou	頭婾媮偷鍮敨黈妵投偸头鋀亠紏蘣骰透
tu	突鈯酴鵵鶟禿庩塗瑹鼵兎兔涂葖荼堍馟迌菟鍎鵚痜怢屠釷鵌跿図秃瘏梌图廜唋悇捸峹嶀駼徒钍鋵涋土蒤鷵堗捈途腯汢圖莵宊凸吐稌圡嵞凃揬湥筡鷋圗潳
tuan	湍貒槫慱煓漙団剸畽抟篿鏄圕褖鷻糰摶檲鷒墥疃團团湪彖猯
tui	颓蛻俀退褪僓橔魋蹆蘈隤蹪煺娧頺穨頹駾推蜕侻骽弚忒腿藬尵頽蓷
tun	豚褪軘旽氽臀呑坉芚臋飩魨涒鲀黗暾囤吞朜霕噋豘饨焞忳屯蛌
tuo	咃蘀沱鴕沰挩鮵柁馱駝岮鸵拕鼉唾坨彵箨驝妥魄涶袉鼧橢嶞砣酡魠佗捝袥脱橐嫷驒柝跎詑侂馲乇託阤狏槖騨饦碢讬托紽陀籜仛杔萚鵎汑驼扡跅駞驮鼍駄鮀侻陁砤椭拓庹毻鰖咜说脫楕毤莌飥堶拖
wa	瓾鼃畖洼腽窪娃襪挖屲咓佤蛙窐漥溛搲聉砙攨哇袜穵瓦邷媧嗗嗢韈啘窊膃凹韤劸娲
wai	歪竵咼喎顡崴外
wan	睕杤帵潫丸顽卍豌脕梚貦蟃汍贃挽乛彎蜿抏踠萖惋妧剜壪塆纨婉晩鋔鋄鎫贎笂薍完灣輐畹宛芄倇琬晼玩绾弯菀腕碗晚万忨萬卐澫錽綰綩椀烷湾刓翫唍莞輓盌捥婠埦捖頑皖瞣紈晥琓蔓脘岏
wang	罓彺網尫尣辋枉蛧旺朢尩莣菵瀇尢忘蝄亡惘妄仼魍汪徍亾迋罒棢誷网蚟輞尪兦王往徃罔暀望
wei	腲菋闈斖懀瀢伪濻峞煨芛帷未鲔韦讆頠愄蜲囲椳韙鮪暐荱骩蘶韪叞罻嶉燰隗为萎煒湋硙餵魏鳂揻溦潍痿鍡偎鮇覹維儰媦鏏威惟骫慰苇壝緯苿捤縅墛媙纬圍饖蝟违危娓躛爲碨囗帏讏沩薇潙欈葦韋煟癓撱偉洧鰄洈亹嵔轊痏艉醀颹媁谓蔿崣偽硊烓餧葳卫葨峗藯薳褽畏桅维螱玮潿霺蓶諉渭磑軎揋韡緭巍嶶犚味胃躗鰃鄬猬唯違衞鳚覣委踓蔚徫猥霨微琟矀尾濰為位喴梶隇崴厃伟逶瑋骪衛廆犩鮠椲僞圩围蒍熭隈寪詴遗嵬闱溈渨喂诿涠浘謂炜尉蜼鍏愇楲韑蝛幃喡
wen	鴍抆莬蟁穏轀鰛塭揾温瘟絻溫昷刎伆榅蕰問紋闻搵聞顐繧緼豱妏璺辒鰮汶閿文瑥鳁馼榲闅闦吻蚊渂问脗桽蚉鎾芠魰駇阌肳稳雯呅饂免呡紊穩纹鳼炆彣閺殟輼鞰螡鼤珳瘒
weng	甕奣嵡齆翁攚聬蕹嗡勜鶲蓊暡鹟罋塕螉滃瞈鎓瓮
wo	偓仴萵沃喔卧臒猧涴齷踒捾幄臥腛肟涡硪龌婐婑窩濣楃窝捰倭瞃媉挝蜗莴涹我握斡蝸唩渥枂瓁焥渦
wu	無霧汙吴弙剭铻焐蘁怃鵐伍呉汚螐五鯃倵亡隖儛恶碔兀忢浯洿钨娬屼妩啎婺武墲鎢鹀莁杇珸璑鋈窏鹜物兀蕪粅塢祦诬鹉鵡誤舞鄔憮毋梧陚熓霚呜誈鋙悞鼿瑦卼悮蟱嫵嵨廡峿岉奦务娪靰扤窹誣務芴珷蜈阢污屋歍茣捂坞午玝矹熃邬巫譕雺悟娒鼯牾郚唔迕溩芜痦箼雾俉齀旿於戊逜勿嗚敄吳鶩甒乌鰞瞴潕晤吾烏忤嵍騖圬洖鴮橆鷡躌骛侮仵误杌无庑寤摀
xi	衋矽鎴潟酅肸夕磶蕮扸檄硒厀椺墍焁熂鈢郗覡屣翖睎悉郤戱憙蠵焟騽隙煕惜禧緆槢菥趇繥襲饻犔锡兮唏蓰屓咥裼隵暿爔漝隟橲螇觹皙鸂習鐊蒵覤潝蹊鉨狶恄西鰼囍譆曦觽犀熙怬吸郋憘徯鵗俙霫禊餏铣牺巂徙怸舄屃浠翕樨釸邜犧绤席枲釳歖綌奚袭呬凞璽桸嘻欯塈騱豀琋晰褶矖係澙恓晳稧躧屭嬆徆熺醯赥諰漇虩鬩錫悕淅霼舾縰觋舃娭慀謑汐喺繫磎溪熈息壐焈喜烯饩习蜥鳛鏭薂葸希欷析忚歙焬嵠螅窸謵肹葈饎莃系餼闟戏巇唽昔腊细豨盻熄糦氥惁嶍粞蒠犠飁鉩卥瘜蹝縘屖瞦洗礂嚱豯驨渓忥稀橀郄媳鄎阋噏僖赩戲匸榽熻傒鱚貕膝鑴燨戯穸茜羲椞黖嬉蟋趘細谿蟢晞玺卌觿鼷隰熹栖蓆
xia	夓厦蕸閕颬狎烚狭埉瑕鎼蝦陿舝吓侠辖圷珨煆翈傄黠騢閜丅懗鍜柙峽舺遐硖夏諕炠縖陜鎋假魻俠硤鶷鏬峡赮呷磍谺筪暇虾唬敮狹下鰕碬葭疜罅霞匣睱瞎祫轄梺
xian	僲獻県陷娹峴啣諴閒綫鮮搟咞缐枮衔现娊莧褼醎屳箲韅垷線掀銑先嗛玁闲礥霰鹇跣燹佡嫌籼献羨現僩麙胘珗豏苋鋧撊澖撏仙銜橺銛秈贒崄鑦襳縣铣险鹹麲羡薟閑睍衘櫶奾鲜躚幰伭孅限尟攕线僊獫賢暹蹮烍痫憪馅忺涎嫻蚬獮鼸蛝岘尠腺壏莶娴藓挦显馦藖譣鍁咸姭蚿筅妶顯仚哯弦攇晛瀗毨禒埳橌臽跹険婱锨繊甉陥灦瞯贤祆蜆誸鶱銽杴苮僴韯鷼猃县塪鱻憸鍌險嫺嘕咁舷絃盷蘚氙廯纎洗赻铦粯纤宪酰韱誢絤湺餡糮錎顕臔羬嶮鷴冼涀见癇憲輱稴鷳狝癎纖嬐
xiang	欀膷麘詳缿骧勨香箱鱶响相鯗饗向項橡衖薌瓖像葙栙蚃驤鮝襐楿详絴芗饷庠亯晑響嶑鱌郷銄纕蠁巷象湘蟓餉瓨廂忀鄉鄊佭项曏乡厢饟鲞翔镶姠鐌飨缃鄕緗想嚮萫跭降珦襄鑲享祥
xiao	小削鴵箫誵篠髐歊枵淆嘐詨蛸翛瀟膮郩嚻啸歗硣曉撨魈涍髇鷍笑呺灲嘵効誟窙蠨肖斅逍踃謏殽囂哓蟏毊櫹潇颵簘憢驍穘綃﨧校灱敩霄藃蕭虈烋庨熽枭嘋恔蟂消訤婋绡孝銷皛揱嚣鸮哮效筿蟰梟侾咲痟痚销簫彇皢宯鴞焇硝筱洨斆猇傚暁嘨虓晓獢宵崤俲骁嘯萧
xie	峫薤瀉缬嚡讗亵噧灺械卸蟹屧勰猲膎諧絬褻靾綊瀣瑎謝邂泄齥絜緳解襭齘榍韰齛蝢藛揳娎胁血廨偞邪炧卨楔衺祄蠍挟絏奊熁愶撷些鞵協偕垥劦冩蠏褉齂渫縀泻协燲薢脋伳嶰蝎拹媟徢擕鞋懈叶嗋榭恊缷禼旪爕紲糏躞燮炨焎挾屟夑脅斜緤谢僁洩写龤纈擷屑烲翓鲑谐偰孈暬契獬寫澥歇携攜绁繲鞢脇塮
xin	馫莘歆信訢衅辛鑫枔镡軐脪焮囟忻昕鈊廞伈孞芯妡新炘欣薪舋襑惞锌心鋅嬜忄俽杺馨釁馸顖阠訫鐔盺邤噷伩
xing	郉莕鯹骍篂洐荇侀鉶觲鈃婞铏滎餳杏饧娙緈刑陉擤省荥型性姓邢﨨哘皨垶銒陘腥觪行惺悻曐鮏硎醒猩狌倖睲興騂星瑆煋幸臖謃葕形钘鋞涬嬹箵蛵兴
xiong	胸凶賯恟雄詗汹訩焸芎忷诇熊熋讻詾焽胷洶匈兇夐兄敻匂哅
xiu	褎褏臭鱃鸺袖鮴髹修繡飍滫嚊朽俢溴貅休螑烌鎀绣锈苬琇繍樇臹髤脙潃岫銹庥咻饈羞峀脩宿齅銝糔嗅馐鵂鏥秀鏽珛璓綉鏅
xu	偦稰怴槒綇鱮伵譃昫卹畜吁栩蓿聟勗壻滀垿詡烼敍慉欨揟糈喣顼呴媭緰銊瞁鑐汿盱魆禑冔蝑浒噓砉墟胥敘煦諝訹疞嘘许鄦聓縃诩欻俆訏盨続魣須续朂序叙酗鬚湑恤藚續旴需賉烅許潊魖暊歔旭稸緖藇盢裇蒣婿燸醑徐絮珬溆戌须頊嬃諿楈漵殈蕦侐歘驉緒虗圩繻勖沀绪晇虚欰蓄谞﨏姁獝虛芧洫珝
xuan	翾碹蜁儇諼癬玄吅檈媗駽谖烜渲悬縼鏇琄禤璿漩箮弲譞翧諠喧揎煊轩眩蠉晅蕿藼泫炫煖睻颴暶璇蘐鋗鞙选矎絢楦鍹贙選嬛镟塇癣萲軒萱券铉县懸楥懁瑄鉉繏暄怰琁绚嫙蓒眴愋蝖玹宣昍蔙袨愃衒梋旋痃昡咺
xue	削鳕吷瞲學蒆血彐穴趐踅茓辥峃謔泶觷袕膤鞾坹燢雪壆靴鷽斈乴学噱谑瀥鸴澩樰岤桖薛鱈疶狘嶨轌辪
xun	灥詢卂驯廵杊郇臐焄迅蟳揗荤浚璕峋旬殉稄燖駨訓鱘毥狥汛熏迿訙讯勲壎寻坃奞愻训荨爋畃蘍珣嚑鑂潯矄塤纁鄩侚薫訊燅馴栒攳巺恂獯潭紃樳逊桪噀循巡巽醺埙曛噚燻壦询遜薰殾洵尋勛伨窨徇偱蕈顨勋鲟荀鱏勳
ya	亜氩ㄚ冴釾痖砑瘂枒圠轧覀讶唖漄压哑埡孲铔齾劜睚鸭岈揠亞吖鴉啞俹涯軋鵶蚜厓崖聐氬桠衙笌崕圔鸦椏錏玡呀鐚疋訝窫牙庘伢壓婭琊厊丫娅猰猚厌鴨齖疨堐芽迓挜垭圧雅庌稏押犽蕥襾亚掗
yan	蜒巚諺觃鴳黡囐嚈煙黶堰醼揜讠珚艶喦閆焔厣櫩閹訮闫炎俨漹檐烟芫嵼顩騐鷰硯儼剡鶠釅夵淹演樮揅琰厭弇鰋偃驠彦兖灔牪咽魇椻烻懕綖嚴麣罨唁灎腌蔅豔湮雁戭熖滟燕鴈谚谳隁贗鹽礹厴歅奄猒艳萒偐虤阉盐齴騴彥詽姸縯壧隒裺殷鼴黫延研鳫艷狿灧焉傿啱淊顏硽岩嬮兗龑顔娫塩掩颜渷鬳驗豓郾巘嬿酽验巗觾遃嵃暥黤曮酀饜敥剦赝餍嵒齞燄讞铅愝严衍焱黬郔醶鄢椼扊魘妍曣琂酓厌閻懨爓讌曕筵厳嵓匽妟姲眼贋簷檿砚埏乵覎崦莚嶖晏巖軅抁言醃阏褗昖楌巌阎娮晻炏甗宴臙訁恹渰噞験硏嚥沿灩鼹嫣墕阽躽蝘鷃焰孍壛碞喭黭棪溎嬊胭篶沇
yang	樣炴珜養洋佯扬佒抰陽烊輰岟鸯揚央軮劷氱諹慃攁暘炀霷楧氜崵胦阦姎駚鸉阳飬紻懩昜蛘样漾飏颺鞅羊瑒秧殃鴹雵楊咉様仰羏瀁羕癢傟氧眏垟詇卬养坱蝆鰑怏敭徉钖煬瘍疡恙鉠旸柍礢杨鴦崸眻痒鍚泱鍈
yao	溔猺嗂抭楆鰩熎袎訞狕軺餆窰鳐鎐仸滧葽窑嶢尧鴢瑶喓顤崾窯姚殀摿鱙堯暚餚獟遙尭妖要鹞苭倄夭艞岆揺靿謡陶邀侥傜徼纅榚飖吆荛鼼约杳瑤覞葯燿峣窔闄齩讑疟繇搖遥嶤眑邎珧榣钥垚爻鴁药蘨穾烑摇耀曜腰窅轺磘婹铫蓔詏宎舀祅柼窈咬徭偠幺謠藥矅谣鷕愮媱筄騕薬鷂颻肴枖
ye	鄴澲嶫枽潱頁鵺壄嘢爷馌鍱亪曳殗瑘叶冶拽鋣邪暍噎页鎑擪铘鸈耶捓鎁倻漜璍嶪瞸驜埜爺椰邺靨也捙晔皣曵餣揶僷爗抴ㄝ野业液曄煠燁擫曗腋亱饁歋夜瞱礏擨業蠮枼吔烨墷靥咽擛掖鐷葉谒謁曅
yi	義佁玴礒藙酏弈億笖瞖铱峄撎懿唈嫛佾誼嬄庡晹弌襼燡艤敡毅悒旖杙鄓绎轙彞鏔忔釔依貤遺郼以鷖袣逘瘗议坄谊渏怈廙勚槸驛枍旑籎异屹俋歝翊一奕悥臆匜浥彝沂鷁暆讉嶷嬑鳦疫宐宜欭簃蟻蛦抑焲螠尾頤媐翳乙棭浳衤栘缢医瀷饴侇浂蘙毉彛裔仡頉贀瑿肊译螘墿燚裿噫弬鹝咿冝湙鹢眙嬟膉苢輢呭瘱貽檍颐嶧椬鮧扅翼泆痍佚熼义憶兿蛇洢倚芅蓺埶豷圛帟攺荑蜴銥寲曎偯鷧狋蚁鎰瓵鈘繶邑怿艺易栧已亄鮨譯顗豛誃褹夁舣亿跇鯣齸鶂弋诣踦艗漪羛迱垼羿詍夷溢拸揖昳彜勩詒移悘繄阣秇澺敼痬羠宧鴺嶬訳逸豙乂竩猗贻椸訲釴亦蛾軼縊螔衣镱饐鷾苡萟鹥黓咦跠議怡稦熠賹禕殔穓隿崺飴讛癔虉貖枻萓醫沶鷊呓觺檥篒譩役钇呹耴艾姨食肄遗黳轶劓炈乁壹畩裛镒懌寱挹埸迆殹胰熪繹峓顊嗌齮鐿骮睪燱袘斁駅辷吚鉯衪潩扆獈矣迻殪帠仪迤蛜詣薏鶃匇鈠意儀忆刈恞巸翌壱疑異黟熤益蛡鸃杝圯劮訑珆曀伊幆檹伇榏醳囈醷驿桋诒謻頥藝苅瘞祎椅霬嫕
yin	訚朄檭濥因婣狺隐訔垠蚓铟櫽駰斦癊憖泿碒慭吟廴蒑霪荶濦絪陻垔印滛音諲烎隠溵凐裀飮猌赺珢粌犾栶荫骃鞇瘾檃檼緸龂銦氤禋崟崯筃懚隂趛吲龈嚚噖飲殷圁茵蔭侌誾夤湚婬峾癮磤廕姻秵鮣饮洇闉喑鈝岃尹鷣淾鈏瘖胤霠淫囙蔩陰茚殥酳齦璌阥訡银洕噾阴輑隱垽讔圻憗鄞蟫愔嶾慇銀堷寅窨乑冘引靷堙螾霒齗蘟韾
ying	鶯嬴英塋营濚嚶楹纓萤萦蝿螢鎣梬瓔荥瘿僌櫻璎籯媵绬瀯頴颕缨蠅褮韺浧鷹噟應贏縈桜鷪莺朠硬偀嬰甇撄甖暎应婴摬颍覮蓥廮映癭溋攍滢鐛罂盁鱦赢瑩瀛蝇罃瀴藀愥熒孾萾瀠灐瀅巊膡鹰荧禜鹦溁譻濴緓蘡嘤濙鑍媖樱颖灜鴬櫿郢籝蛍孆膺锳霙礯鸚影営煐鶧營罌蠳碤矨鶑嫈謍潁巆譍応蝧珱莹潆賏盈攖穎鸎渶迎瑛茔
yingli	哩
yo	育唷喲哟
yong	嫞顒踊臃鰫泳鲬鏞惥郺柡悀鷛壅佣雝擁恿噰癰愹庸嵱邕詠勈蒏牅傭鱅埇湧苚颙墉滽甬咏栐醟慵拥彮澭廱永俑塎鄘鳙痈蛹踴愑砽灉勇雍硧慂鯒怺涌用镛癕饔喁嗈
